Year,Month,Domestic,Commercial,Industrial,Street lighting,Exports to the mainland of China,All groups
2007,Dec,1897,7327,1067,34,1592,11916
2008,Jan,2143,7129,1029,36,2455,12791
2008,Feb,2601,5979,811,33,1156,10580
2008,Mar,2553,6897,893,32,1511,11886
2008,Apr,2135,7991,1097,31,620,11874
2008,May,2725,8780,1148,30,473,13155
2008,Jun,3460,8932,1010,30,556,13987
2008,Jul,4434,9566,1149,31,963,16143
2008,Aug,4639,9338,1070,31,978,16057
2008,Sep,4805,9336,1079,34,1058,16313
2008,Oct,3391,8837,1023,35,822,14108
2008,Nov,2307,7650,916,32,1074,11979
2008,Dec,1907,7238,957,36,1122,11260
2009,Jan,2187,6800,807,35,615,10445
2009,Feb,2375,6490,693,32,1015,10605
2009,Mar,2312,7429,888,33,1086,11749
2009,Apr,2155,7445,953,31,1040,11624
2009,May,3035,8538,943,29,1125,13670
2009,Jun,3943,9484,1041,31,1073,15571
2009,Jul,4797,10038,1059,32,1222,17147
2009,Aug,5355,9885,1053,33,1325,17650
2009,Sep,4942,9512,1006,32,1530,17022
2009,Oct,3352,8745,978,34,878,13988
2009,Nov,2355,7513,870,35,1192,11964
2009,Dec,2165,6977,852,37,1332,11363
2010,Jan,2561,6975,822,34,1058,11450
2010,Feb,2388,6396,776,33,248,9840
2010,Mar,2645,7716,765,36,1512,12674
2010,Apr,2296,7494,929,32,1109,11860
2010,May,3470,8685,1002,31,626,13814
2010,Jun,3661,9458,1037,30,605,14790
2010,Jul,5087,10186,1064,31,479,16847
2010,Aug,4995,10043,1039,33,630,16740
2010,Sep,4583,9416,1002,33,436,15469
2010,Oct,3193,8576,917,34,637,13356
2010,Nov,2270,7494,839,36,1163,11802
2010,Dec,2196,7445,890,35,889,11456
2011,Jan,2645,7083,846,36,241,10852
2011,Feb,2490,5916,739,33,202,9379
2011,Mar,2577,7136,746,33,263,10754
2011,Apr,2485,7502,896,30,295,11208
2011,May,3237,9048,1016,32,554,13888
2011,Jun,4271,9862,1064,28,1498,16723
2011,Jul,4742,10097,1074,29,655,16598
2011,Aug,5326,10218,1093,33,1577,18246
2011,Sep,4392,9338,996,31,947,15705
2011,Oct,3008,8534,867,35,1184,13628
2011,Nov,2557,7964,883,34,1663,13101
2011,Dec,2141,7368,884,35,1566,11994
2012,Jan,2586,6983,780,37,184,10570
2012,Feb,2666,6507,809,34,680,10696
2012,Mar,2827,7294,868,33,839,11861
2012,Apr,2753,7921,910,32,716,12333
2012,May,3862,9852,1047,31,360,15151
2012,Jun,4168,9824,1004,28,828,15852
2012,Jul,4811,10040,1055,31,886,16823
2012,Aug,5303,10165,1054,31,320,16873
2012,Sep,4448,9305,1014,30,374,15172
2012,Oct,3216,8706,903,36,536,13397
2012,Nov,2236,8022,936,33,292,11518
2012,Dec,2313,7431,901,35,601,11281
